date,keyword,spend,impression,click,ctr
2025-12-01,60대간병인보험,919.6,2,1,0.5
2025-12-01,가입첫날부터보장되는암보험,13915,5,2,0.4
2025-12-01,간병보험,14586,121,4,0.033057851
2025-12-01,간병보험비교사이트,5507.7,16,1,0.0625
2025-12-01,간병보험추천,8386.4,10,1,0.1
2025-12-01,간병비보험,44727.1,345,8,0.023188406
2025-12-01,간병비보험가격,11907.5,9,2,0.222222222
2025-12-01,간병비보험추천,10734.9,29,2,0.068965517
2025-12-01,간병인보험,109219,258,19,0.073643411
2025-12-01,간병인보험추천,3010.7,68,1,0.014705882
2025-12-01,건강보험,15496.8,217,4,0.01843318
2025-12-01,골라담는간편건강보험,1717.1,1,1,1
2025-12-01,다이렉트암보험,5184.3,35,1,0.028571429
2025-12-01,당뇨보험,17497.7,51,1,0.019607843
2025-12-01,라이나,74889.1,152,14,0.092105263
2025-12-01,라이나간병인보험,3073.4,5,2,0.4
2025-12-01,라이나더건강한치아보험,36881.9,38,5,0.131578947
2025-12-01,라이나무배당치아보험,30693.3,8,1,0.125
2025-12-01,라이나보험,51577.9,46,14,0.304347826
2025-12-01,라이나생명,843144.5,1389,187,0.13462923
2025-12-01,라이나생명무배당the건강한치아보험,6917.9,10,1,0.1
2025-12-01,라이나생명보험,40652.7,67,11,0.164179104
2025-12-01,라이나생명암보험,13099.9,17,2,0.117647059
2025-12-01,라이나생명어린이치아보험,243215.5,81,41,0.50617284
2025-12-01,라이나생명첫날부터암보험,4265.8,4,1,0.25
2025-12-01,라이나생명치과,19570.1,40,3,0.075
2025-12-01,라이나생명치과보험,56303.5,16,4,0.25
2025-12-01,라이나생명치아보험,62514.1,62,6,0.096774194
2025-12-01,라이나생명치아보험료,21287.2,7,1,0.142857143
2025-12-01,라이나손해보험,239421.6,351,48,0.136752137
2025-12-01,라이나실비보험,7200.6,7,1,0.142857143
2025-12-01,라이나암보험,37059,16,5,0.3125
2025-12-01,라이나첫날부터암보험,1877.7,4,1,0.25
2025-12-01,라이나치과,1226.5,4,1,0.25
2025-12-01,라이나치과보험,13604.8,10,3,0.3
2025-12-01,라이나치아보험,586049.2,184,40,0.217391304
2025-12-01,라이나치아보험레진,2256.1,2,1,0.5
2025-12-01,라이나치아보험보장,1709.4,2,1,0.5
2025-12-01,라이나치아보험보장내용,4386.8,2,1,0.5
2025-12-01,라이나치아보험조회,24462.9,4,1,0.25
2025-12-01,라이나치아보험홈페이지,2239.6,4,1,0.25
2025-12-01,메디칼건강보험,4363.7,11,1,0.090909091
2025-12-01,메디컬보험,2541,168,1,0.005952381
2025-12-01,무배당the건강한치아보험v,8206,38,3,0.078947368
2025-12-01,무배당더건강한치아보험,3124,5,1,0.2
2025-12-01,보험,33070.4,163,1,0.006134969
2025-12-01,보험상담신청,31137.7,6,1,0.166666667
2025-12-01,수술보험,5331.7,116,3,0.025862069
2025-12-01,수술비보험,74875.9,103,2,0.019417476
2025-12-01,실비암보험,16291,63,1,0.015873016
2025-12-01,암보험,589210.6,1395,28,0.020071685
2025-12-01,암보험가격,6950.9,19,1,0.052631579
2025-12-01,암보험라이나,2162.6,41,1,0.024390244
2025-12-01,암보험료,2398,9,1,0.111111111
2025-12-01,암보험비갱신형추천,10729.4,17,1,0.058823529
2025-12-01,암보험설계,28314,28,2,0.071428571
2025-12-01,암보험추천,93121.6,123,5,0.040650407
2025-12-01,암진단보험,21643.6,5,1,0.2
2025-12-01,암진단비보험,16899.3,16,1,0.0625
2025-12-01,어린이치아교정보험,13678.5,57,3,0.052631579
2025-12-01,어린이치아보험추천,174311.5,128,20,0.15625
2025-12-01,유방암보험,9113.5,54,1,0.018518519
2025-12-01,임플란트보험,17286.5,244,3,0.012295082
2025-12-01,입원비보장보험,5426.3,6,1,0.166666667
2025-12-01,입원비보험,10023.2,106,2,0.018867925
2025-12-01,진단금보험,13934.8,39,4,0.102564103
2025-12-01,첫날부터든든한암보험,43703,4,1,0.25
2025-12-01,첫날부터암보험,113401.2,19,5,0.263157895
2025-12-01,첫날부터입원비보험,11310.2,2,1,0.5
2025-12-01,치과보험,263105.7,397,13,0.032745592
2025-12-01,치과보험가격,7909,16,1,0.0625
2025-12-01,치과실비보험,27143.6,17,1,0.058823529
2025-12-01,치아보험,604061.7,917,38,0.041439477
2025-12-01,치아보험가격,24395.8,117,2,0.017094017
2025-12-01,치아보험가입,36836.8,3,1,0.333333333
2025-12-01,치아보험료,4081,4,1,0.25
2025-12-01,치아보험비교,81644.2,16,2,0.125
2025-12-01,치아보험추천,139998.1,48,5,0.104166667
2025-12-02,간병보험,11036.3,137,4,0.02919708
2025-12-02,간병보험비교사이트,1802.9,13,1,0.076923077
2025-12-02,간병비,5319.6,112,1,0.008928571
2025-12-02,간병비보험,99216.7,802,22,0.027431421
2025-12-02,간병비보험가격,4715.7,19,2,0.105263158
